"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
566,1,"dam",1,1,NA,NA,NA,NA,NA,NA,-830037.493000001,-1091259.203,c(-830037.493000001, -1091259.203)
567,2,"dam",0,0,NA,NA,NA,NA,NA,NA,-846253.877,-1116140.097,c(-846253.877, -1116140.097)
672,3,"dam",0,0,NA,NA,NA,NA,NA,NA,-845971.872000001,-1114996.801,c(-845971.872000001, -1114996.801)
772,4,"dam",0,0,NA,NA,NA,NA,NA,NA,-822809.123,-1081031.941,c(-822809.123, -1081031.941)
864,5,"dam",1,1,NA,NA,NA,NA,NA,NA,-822695.318,-1078574.535,c(-822695.318, -1078574.535)
958,6,"dam",0,0,NA,NA,NA,NA,NA,NA,-836848.563000001,-1103920.362,c(-836848.563000001, -1103920.362)
1043,7,"dam",1,1,NA,NA,NA,NA,NA,NA,-836782.217999998,-1102736.674,c(-836782.217999998, -1102736.674)
1141,8,"dam",1,1,NA,NA,NA,NA,NA,NA,-836372.545000002,-1102248.267,c(-836372.545000002, -1102248.267)
1243,9,"dam",0,0,NA,NA,NA,NA,NA,NA,-835989.886999998,-1100732.632,c(-835989.886999998, -1100732.632)
1,10,"dam",0,0,153425.886667631,5225437.09253873,0.0293613498642446,0.029348133318907,0.0450336830420014,"1",-844324.951000001,-1113266.958,c(-844324.951000001, -1113266.958)
97,11,"dam",1,1,NA,NA,NA,NA,NA,NA,-842528.727000002,-1112444.865,c(-842528.727000002, -1112444.865)
196,12,"dam",1,1,NA,NA,NA,NA,NA,NA,-840150.048999999,-1110729.039,c(-840150.048999999, -1110729.039)
292,13,"dam",0,0,NA,NA,NA,NA,NA,NA,-838882.491,-1109693.652,c(-838882.491, -1109693.652)
386,14,"dam",0,0,NA,NA,NA,NA,NA,NA,-821793.673,-1077744.457,c(-821793.673, -1077744.457)
480,15,"dam",0,0,NA,NA,NA,NA,NA,NA,-821749.239999998,-1075771.593,c(-821749.239999998, -1075771.593)
525,16,"dam",0,0,NA,NA,NA,NA,NA,NA,-820833.673999999,-1075312.56,c(-820833.673999999, -1075312.56)
534,17,"dam",1,1,NA,NA,NA,NA,NA,NA,-821434.760000002,-1074030.123,c(-821434.760000002, -1074030.123)
544,18,"dam",0,0,NA,NA,NA,NA,NA,NA,-838580.134,-1108867.545,c(-838580.134, -1108867.545)
555,19,"dam",1,1,NA,NA,NA,NA,NA,NA,-838356.881000001,-1108621.617,c(-838356.881000001, -1108621.617)
568,20,"dam",0,0,NA,NA,NA,NA,NA,NA,-837484.127999999,-1108459.518,c(-837484.127999999, -1108459.518)
578,21,"dam",0,0,NA,NA,NA,NA,NA,NA,-836833.555,-1107486.798,c(-836833.555, -1107486.798)
589,22,"dam",0,0,NA,NA,NA,NA,NA,NA,-835815.506999999,-1100773.249,c(-835815.506999999, -1100773.249)
599,23,"dam",0,0,NA,NA,NA,NA,NA,NA,-834372.092999998,-1099384.039,c(-834372.092999998, -1099384.039)
609,24,"dam",0,0,NA,NA,NA,NA,NA,NA,-836326.359000001,-1106454.839,c(-836326.359000001, -1106454.839)
619,25,"dam",0,0,NA,NA,NA,NA,NA,NA,-833453.684,-1098742.75,c(-833453.684, -1098742.75)
630,26,"dam",0,0,NA,NA,NA,NA,NA,NA,-832422.193,-1096286.539,c(-832422.193, -1096286.539)
641,27,"dam",0,0,NA,NA,NA,NA,NA,NA,-831624.583000001,-1095420.089,c(-831624.583000001, -1095420.089)
650,28,"dam",0,0,NA,NA,NA,NA,NA,NA,-831216.657000002,-1093651.024,c(-831216.657000002, -1093651.024)
661,29,"dam",0,0,NA,NA,NA,NA,NA,NA,-830693.179000001,-1092758.101,c(-830693.179000001, -1092758.101)
682,30,"dam",0,0,NA,NA,NA,NA,NA,NA,-828782.627,-1090158.673,c(-828782.627, -1090158.673)
694,31,"dam",0,0,NA,NA,NA,NA,NA,NA,-828631.374000002,-1088671.397,c(-828631.374000002, -1088671.397)
704,32,"dam",0,0,NA,NA,NA,NA,NA,NA,-826748.883000001,-1085606.157,c(-826748.883000001, -1085606.157)
715,33,"dam",0,0,NA,NA,NA,NA,NA,NA,-826171.129999999,-1084609.93,c(-826171.129999999, -1084609.93)
722,34,"dam",0,0,NA,NA,NA,NA,NA,NA,-823644.791999999,-1083848.147,c(-823644.791999999, -1083848.147)
