"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
566,1,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-830037.493000001,-1091259.203,c(-830037.493000001, -1091259.203)
567,2,"dam",0,0,149877.323235287,5225437.09253873,0.0286822557770896,0.0286814636731808,0.00276172763639147,"1",-846253.877,-1116140.097,c(-846253.877, -1116140.097)
672,3,"dam",0,0,149882.005008936,5225437.09253873,0.0286831517353732,0.0286814636731808,0.00588555107093225,"1",-845971.872000001,-1114996.801,c(-845971.872000001, -1114996.801)
772,4,"dam",0,0,149889.862457455,5225437.09253873,0.0286846554274815,0.0286814636731808,0.0111282824931757,"1",-822809.123,-1081031.941,c(-822809.123, -1081031.941)
864,5,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-822695.318,-1078574.535,c(-822695.318, -1078574.535)
958,6,"dam",0,0,149916.842239189,5225437.09253873,0.0286898185901523,0.0286814636731808,0.0291300230233745,"1",-836848.563000001,-1103920.362,c(-836848.563000001, -1103920.362)
1043,7,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-836782.217999998,-1102736.674,c(-836782.217999998, -1102736.674)
1141,8,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-836372.545000002,-1102248.267,c(-836372.545000002, -1102248.267)
1243,9,"dam",0,0,149876.386300258,5225437.09253873,0.0286820764743801,0.0286814636731808,0.00213657575600588,"1",-835989.886999998,-1100732.632,c(-835989.886999998, -1100732.632)
1,10,"dam",0,0,149942.246372383,5225437.09253873,0.0286946802185184,0.0286814636731808,0.0460804423657864,"1",-844324.951000001,-1113266.958,c(-844324.951000001, -1113266.958)
97,11,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-842528.727000002,-1112444.865,c(-842528.727000002, -1112444.865)
196,12,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-840150.048999999,-1110729.039,c(-840150.048999999, -1110729.039)
292,13,"dam",0,0,149898.804851974,5225437.09253873,0.0286863667473886,0.0286814636731808,0.0170949232705353,"1",-838882.491,-1109693.652,c(-838882.491, -1109693.652)
386,14,"dam",0,0,149907.272852665,5225437.09253873,0.028687987281813,0.0286814636731808,0.0227450338886016,"1",-821793.673,-1077744.457,c(-821793.673, -1077744.457)
