"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
1,1,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-633929.772999998,-1187375.5,c(-633929.772999998, -1187375.5)
122,2,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-634072.609999999,-1187251.64,c(-634072.609999999, -1187251.64)
212,3,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-630184.903999999,-1192442.81,c(-630184.903999999, -1192442.81)
306,4,"dam",0,0,20371.6812444865,1154635.04297332,0.0176433942209367,0.0176411112863675,0.0129409906896875,"1",-628093.489999998,-1195900.17,c(-628093.489999998, -1195900.17)
414,5,"dam",0,0,20418.3592244788,1154635.04297332,0.0176838208304324,0.0176411112863675,0.242102344753232,"1",-630278.151999999,-1192305.777,c(-630278.151999999, -1192305.777)
498,6,"dam",0,0,21617.3467552846,1154635.04297332,0.0187222333904031,0.0176411112863675,6.12842403455023,"1",-636755.331999999,-1197138.795,c(-636755.331999999, -1197138.795)
621,7,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-619099.298999999,-1200250.634,c(-619099.298999999, -1200250.634)
699,8,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-634819.723000001,-1199372.095,c(-634819.723000001, -1199372.095)
777,9,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-649239.609999999,-1197095.72,c(-649239.609999999, -1197095.72)
2,10,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-658990.18,-1187628.4,c(-658990.18, -1187628.4)
28,11,"dam",0,0,20412.7669514864,1154635.04297332,0.0176789775052393,0.0176411112863675,0.21464758232643,"1",-659628.673,-1187511.52,c(-659628.673, -1187511.52)
39,12,"dam",0,0,20421.0104457594,1154635.04297332,0.0176861169856519,0.0176411112863675,0.255118277719613,"1",-653856.008000001,-1193758.17,c(-653856.008000001, -1193758.17)
50,13,"dam",0,0,20388.7135178289,1154635.04297332,0.0176581454390346,0.0176411112863675,0.0965594082509615,"1",-649064.129999999,-1197168.11,c(-649064.129999999, -1197168.11)
61,14,"dam",0,0,20369.7053597553,1154635.04297332,0.0176416829575005,0.0176411112863675,0.00324056191038369,"1",-648724.73,-1198049.94,c(-648724.73, -1198049.94)
71,15,"dam",0,0,20378.6657075114,1154635.04297332,0.0176494432864551,0.0176411112863675,0.0472305851504665,"1",-648379.373,-1197361.982,c(-648379.373, -1197361.982)
82,16,"dam",0,0,20446.4756457456,1154635.04297332,0.0177081717467136,0.0176411112863675,0.380137391899022,"1",-653676.028000001,-1194707.908,c(-653676.028000001, -1194707.908)
93,17,"dam",0,0,20372.6866540857,1154635.04297332,0.0176442649805808,0.0176411112863675,0.0178769588949479,"1",-656563.02,-1192469.62,c(-656563.02, -1192469.62)
104,18,"dam",0,0,20371.7567871361,1154635.04297332,0.0176434596465012,0.0176411112863675,0.0133118605488001,"1",-642559.848000001,-1196172.367,c(-642559.848000001, -1196172.367)
114,19,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-649034.373,-1197428.481,c(-649034.373, -1197428.481)
123,20,"dam",0,0,20401.3542968115,1154635.04297332,0.0176690932957271,0.0176411112863675,0.158618178329578,"1",-643737.013,-1193786.88,c(-643737.013, -1193786.88)
130,21,"dam",0,0,20372.720515729,1154635.04297332,0.0176442943072876,0.0176411112863675,0.0180431995944707,"1",-642702.554000001,-1195274.991,c(-642702.554000001, -1195274.991)
137,22,"dam",0,0,20387.3471058756,1154635.04297332,0.0176569620244469,0.0176411112863675,0.0898511313828999,"1",-641500.666999999,-1195763.512,c(-641500.666999999, -1195763.512)
146,23,"dam",0,0,20374.3575963613,1154635.04297332,0.0176457121411237,0.0176411112863675,0.0260803000529256,"1",-656720.888532786,-1192241.02733522,c(-656720.888532786, -1192241.02733522)
157,24,"dam",0,0,20369.4204465043,1154635.04297332,0.017641436201391,0.0176411112863675,0.00184180587163475,"1",-648496.760000002,-1197898.13,c(-648496.760000002, -1197898.13)
165,25,"dam",0,0,20401.8137757342,1154635.04297332,0.0176694912387182,0.0176411112863675,0.160873948868654,"1",-633152.159000002,-1187641.673,c(-633152.159000002, -1187641.673)
176,26,"dam",0,0,20385.3771330397,1154635.04297332,0.0176552558811526,0.0176411112863675,0.0801797265233532,"1",-635599.298999999,-1187562.972,c(-635599.298999999, -1187562.972)
