"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
1,1,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-633929.772999998,-1187375.5,c(-633929.772999998, -1187375.5)
122,2,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-634072.609999999,-1187251.64,c(-634072.609999999, -1187251.64)
212,3,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-630184.903999999,-1192442.81,c(-630184.903999999, -1192442.81)
306,4,"dam",0,0,22627.7950488476,1258924.19830348,0.0179739138220877,0.0179718200055911,0.0116505534548619,"1",-628093.489999998,-1195900.17,c(-628093.489999998, -1195900.17)
414,5,"dam",0,0,22674.4730288399,1258924.19830348,0.018010991495275,0.0179718200055911,0.217960616519151,"1",-630278.151999999,-1192305.777,c(-630278.151999999, -1192305.777)
498,6,"dam",0,0,23873.4605596457,1258924.19830348,0.0189633820620951,0.0179718200055911,5.517315754306,"1",-636755.331999999,-1197138.795,c(-636755.331999999, -1197138.795)
621,7,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-619099.298999999,-1200250.634,c(-619099.298999999, -1200250.634)
699,8,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-634819.723000001,-1199372.095,c(-634819.723000001, -1199372.095)
777,9,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-649239.609999999,-1197095.72,c(-649239.609999999, -1197095.72)
2,10,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-658990.18,-1187628.4,c(-658990.18, -1187628.4)
28,11,"dam",0,0,22668.8807558475,1258924.19830348,0.018006549390659,0.0179718200055911,0.193243561626407,"1",-659628.673,-1187511.52,c(-659628.673, -1187511.52)
39,12,"dam",0,0,22677.1242501206,1258924.19830348,0.0180130974372247,0.0179718200055911,0.229678639228999,"1",-653856.008000001,-1193758.17,c(-653856.008000001, -1193758.17)
50,13,"dam",0,0,22644.82732219,1258924.19830348,0.017987443050746,0.0179718200055911,0.0869307902596181,"1",-649064.129999999,-1197168.11,c(-649064.129999999, -1197168.11)
61,14,"dam",0,0,22625.8191641164,1258924.19830348,0.0179723443195443,0.0179718200055911,0.00291742268160053,"1",-648724.73,-1198049.94,c(-648724.73, -1198049.94)
71,15,"dam",0,0,22634.7795118725,1258924.19830348,0.0179794617836205,0.0179718200055911,0.0425208911894132,"1",-648379.373,-1197361.982,c(-648379.373, -1197361.982)
82,16,"dam",0,0,22702.5894501067,1258924.19830348,0.0180333251840743,0.0179718200055911,0.342231217895687,"1",-653676.028000001,-1194707.908,c(-653676.028000001, -1194707.908)
93,17,"dam",0,0,22628.8004584468,1258924.19830348,0.0179747124480896,0.0179718200055911,0.0160943215407666,"1",-656563.02,-1192469.62,c(-656563.02, -1192469.62)
104,18,"dam",0,0,22627.8705914972,1258924.19830348,0.017973973827805,0.0179718200055911,0.0119844412708594,"1",-642559.848000001,-1196172.367,c(-642559.848000001, -1196172.367)
114,19,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-649034.373,-1197428.481,c(-649034.373, -1197428.481)
123,20,"dam",0,0,22657.4681011726,1258924.19830348,0.0179974839880794,0.0179718200055911,0.142801243726508,"1",-643737.013,-1193786.88,c(-643737.013, -1193786.88)
130,21,"dam",0,0,22628.8343200901,1258924.19830348,0.0179747393453749,0.0179718200055911,0.016243985210471,"1",-642702.554000001,-1195274.991,c(-642702.554000001, -1195274.991)
137,22,"dam",0,0,22643.4609102367,1258924.19830348,0.017986357670105,0.0179718200055911,0.080891442877691,"1",-641500.666999999,-1195763.512,c(-641500.666999999, -1195763.512)
146,23,"dam",0,0,22630.4714007224,1258924.19830348,0.0179760397259971,0.0179718200055911,0.023479649832938,"1",-656720.888532786,-1192241.02733522,c(-656720.888532786, -1192241.02733522)
157,24,"dam",0,0,22625.5342508654,1258924.19830348,0.0179721180046864,0.0179718200055911,0.00165814644917626,"1",-648496.760000002,-1197898.13,c(-648496.760000002, -1197898.13)
165,25,"dam",0,0,22657.9275800953,1258924.19830348,0.0179978489655128,0.0179718200055911,0.144832075513453,"1",-633152.159000002,-1187641.673,c(-633152.159000002, -1187641.673)
176,26,"dam",0,0,22641.4909374008,1258924.19830348,0.0179847928635516,0.0179718200055911,0.0721844418449471,"1",-635599.298999999,-1187562.972,c(-635599.298999999, -1187562.972)
186,27,"dam",0,0,23767.1472934213,1258924.19830348,0.0188789343516073,0.0179718200055911,5.04742616904668,"1",-619293.186000001,-1200160.323,c(-619293.186000001, -1200160.323)
203,28,"dam",0,0,22643.5034194224,1258924.19830348,0.017986391436384,0.0179718200055911,0.0810793274602656,"1",-623722.954,-1197448.525,c(-623722.954, -1197448.525)
204,29,"dam",0,0,22636.9603626485,1258924.19830348,0.0179811940966374,0.0179718200055911,0.0521599428624589,"1",-625214.855,-1197322.496,c(-625214.855, -1197322.496)
213,30,"dam",0,0,22628.0864335253,1258924.19830348,0.0179741452773874,0.0179718200055911,0.0129384324768688,"1",-628328.989999998,-1195659.11,c(-628328.989999998, -1195659.11)
241,31,"dam",0,0,22679.782414182,1258924.19830348,0.0180152088940265,0.0179718200055911,0.241427348047384,"1",-644116.23,-1173345.72,c(-644116.23, -1173345.72)
242,32,"dam",0,0,22635.8956414839,1258924.19830348,0.017980348357739,0.0179718200055911,0.0474540260541226,"1",-633610.739999998,-1174000.82,c(-633610.739999998, -1174000.82)
253,33,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-634672.859999999,-1173489.91,c(-634672.859999999, -1173489.91)
263,34,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-638363.940000001,-1174376.84,c(-638363.940000001, -1174376.84)
272,35,"dam",0,0,22640.1656398742,1258924.19830348,0.017983740141292,0.0179718200055911,0.0663268144082328,"1",-637837.477000002,-1169550.317,c(-637837.477000002, -1169550.317)
279,36,"dam",0,0,22626.0736951417,1258924.19830348,0.0179725465009192,0.0179718200055911,0.00404241377795814,"1",-636171.879999999,-1170825.73,c(-636171.879999999, -1170825.73)
299,37,"dam",0,0,22630.2113566294,1258924.19830348,0.0179758331654326,0.0179718200055911,0.0223302917580162,"1",-649409.870000001,-1167773.77,c(-649409.870000001, -1167773.77)
307,38,"dam",0,0,22626.1293100137,1258924.19830348,0.0179725906774249,0.0179718200055911,0.00428822363834865,"1",-636180.260000002,-1170662.2,c(-636180.260000002, -1170662.2)
316,39,"dam",0,0,22655.4139919966,1258924.19830348,0.0179958523495909,0.0179718200055911,0.133722371981804,"1",-634883.949999999,-1171826.56,c(-634883.949999999, -1171826.56)
326,40,"dam",0,0,22670.405702792,1258924.19830348,0.0180077607002411,0.0179718200055911,0.199983611224608,"1",-636867.829,-1173994.852,c(-636867.829, -1173994.852)
336,41,"dam",0,0,22628.8976968729,1258924.19830348,0.0179747896873914,0.0179718200055911,0.0165241016177411,"1",-650280.850000001,-1166894.144,c(-650280.850000001, -1166894.144)
346,42,"dam",0,0,22647.1943866519,1258924.19830348,0.0179893232786939,0.0179718200055911,0.0973928800609005,"1",-648671.489999998,-1168743.54,c(-648671.489999998, -1168743.54)
355,43,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-645827.68,-1172800.8,c(-645827.68, -1172800.8)
365,44,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-641826.34,-1172803.444,c(-641826.34, -1172803.444)
375,45,"dam",0,0,22712.6023144407,1258924.19830348,0.0180412786925917,0.0179718200055911,0.386486660666329,"1",-640928.390000001,-1173165.115,c(-640928.390000001, -1173165.115)
386,46,"dam",0,0,22625.5847263063,1258924.19830348,0.0179721580987929,0.0179718200055911,0.0018812407516857,"1",-651099.289999999,-1166314.69,c(-651099.289999999, -1166314.69)
402,47,"dam",0,0,22697.2822661269,1258924.19830348,0.0180291095339288,0.0179718200055911,0.3187742160773,"1",-646131.699999999,-1172854.36,c(-646131.699999999, -1172854.36)
415,48,"dam",0,0,22661.4392188063,1258924.19830348,0.0180006383619798,0.0179718200055911,0.160353021450531,"1",-635364.539999999,-1173796.06,c(-635364.539999999, -1173796.06)
423,49,"dam",0,0,22625.2001345769,1258924.19830348,0.0179718526064289,0.0179718200055911,0.00018139975687796,"1",-626600.399999999,-1158111.68,c(-626600.399999999, -1158111.68)
429,50,"dam",0,0,22625.3581554153,1258924.19830348,0.0179719781269635,0.0179718200055911,0.000879829490553283,"1",-626501.809999999,-1158190.44,c(-626501.809999999, -1158190.44)
442,51,"dam",0,0,22658.3762141951,1258924.19830348,0.0179982053285888,0.0179718200055911,0.146814974718311,"1",-626238.84,-1158719.6,c(-626238.84, -1158719.6)
443,52,"dam",0,0,22625.2331990293,1258924.19830348,0.0179718788704824,0.0179718200055911,0.000327539955581339,"1",-626191.559999999,-1157844.21,c(-626191.559999999, -1157844.21)
452,53,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-626394.831999999,-1164120.065,c(-626394.831999999, -1164120.065)
460,54,"dam",0,0,23332.0505252134,1258924.19830348,0.0185333243706456,0.0179718200055911,3.12436005301495,"1",-628604.359999999,-1162994.19,c(-628604.359999999, -1162994.19)
467,55,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-630749.379999999,-1157261.638,c(-630749.379999999, -1157261.638)
477,56,"dam",0,0,22626.0981321269,1258924.19830348,0.0179725659119252,0.0179718200055911,0.00415042179283211,"1",-626113.366999999,-1157710.061,c(-626113.366999999, -1157710.061)
499,57,"dam",0,0,22625.2884174227,1258924.19830348,0.0179719227320536,0.0179718200055911,0.000571597436517942,"1",-626364.629999999,-1157935.42,c(-626364.629999999, -1157935.42)
509,58,"dam",0,0,22625.2396305106,1258924.19830348,0.0179718839791945,0.0179718200055911,0.000355966192213201,"1",-626558.16,-1157980.04,c(-626558.16, -1157980.04)
524,59,"dam",0,0,22639.5720401331,1258924.19830348,0.0179832686278031,0.0179718200055911,0.0637031875924679,"1",-638877.081999999,-1136676.24,c(-638877.081999999, -1136676.24)
544,60,"dam",0,0,22642.4888632997,1258924.19830348,0.0179855855450332,0.0179718200055911,0.0765951330350624,"1",-631276.603,-1154138.457,c(-631276.603, -1154138.457)
554,61,"dam",0,0,22662.7185072777,1258924.19830348,0.0180016545379125,0.0179718200055911,0.166007295377058,"1",-633452.368999999,-1150449.373,c(-633452.368999999, -1150449.373)
565,62,"dam",0,0,22636.9751713091,1258924.19830348,0.017981205859586,0.0179718200055911,0.0522253950456493,"1",-635168.789000001,-1148253.996,c(-635168.789000001, -1148253.996)
574,63,"dam",0,0,22625.7579225909,1258924.19830348,0.0179722956736245,0.0179718200055911,0.00264674380902994,"1",-635352.848999999,-1146561.292,c(-635352.848999999, -1146561.292)
583,64,"dam",0,0,22627.894774592,1258924.19830348,0.0179739930371386,0.0179718200055911,0.0120913271263562,"1",-635895.901000001,-1146374.5,c(-635895.901000001, -1146374.5)
595,65,"dam",0,0,22631.2557338811,1258924.19830348,0.017976662744571,0.0179718200055911,0.0269462913515083,"1",-637148.513999999,-1145729.927,c(-637148.513999999, -1145729.927)
607,66,"dam",0,0,22639.1207069252,1258924.19830348,0.0179829101207472,0.0179718200055911,0.0617083587115028,"1",-638126.513999999,-1140043.677,c(-638126.513999999, -1140043.677)
622,67,"dam",0,0,22667.2833463032,1258924.19830348,0.0180052805219325,0.0179718200055911,0.186183237596182,"1",-630878.25,-1154998.865,c(-630878.25, -1154998.865)
626,68,"dam",0,0,22631.9128625292,1258924.19830348,0.0179771847209132,0.0179718200055911,0.0298507069422783,"1",-638086.581,-1144737.628,c(-638086.581, -1144737.628)
636,69,"dam",0,0,22639.262092923,1258924.19830348,0.0179830224277455,0.0179718200055911,0.0623332648048389,"1",-638568.199999999,-1143150.017,c(-638568.199999999, -1143150.017)
646,70,"dam",0,0,22626.6305819989,1258924.19830348,0.0179729888522998,0.0179718200055911,0.00650377484463628,"1",-635340.171999998,-1146874.278,c(-635340.171999998, -1146874.278)
656,71,"dam",0,0,22633.1454581124,1258924.19830348,0.0179781638073306,0.0179718200055911,0.0352986049132452,"1",-638999.011,-1138449.011,c(-638999.011, -1138449.011)
667,72,"dam",0,0,22625.3934492729,1258924.19830348,0.0179720061618982,0.0179718200055911,0.00103582334438664,"1",-637590.857000001,-1186077.081,c(-637590.857000001, -1186077.081)
681,73,"dam",0,0,22645.8281444485,1258924.19830348,0.0179882380328902,0.0179718200055911,0.0913542829494683,"1",-629584.162999999,-1174940.214,c(-629584.162999999, -1174940.214)
682,74,"dam",0,0,22627.2748723887,1258924.19830348,0.017973500630841,0.0179718200055911,0.00935144715102891,"1",-621112.07799036,-1175428.68136846,c(-621112.07799036, -1175428.68136846)
689,75,"dam",0,0,22651.7554899188,1258924.19830348,0.0179929462952926,0.0179718200055911,0.117552310755729,"1",-621782.16,-1174369.85,c(-621782.16, -1174369.85)
693,76,"dam",0,0,22628.6753479216,1258924.19830348,0.0179746130691712,0.0179718200055911,0.0155413507322909,"1",-621282.199999999,-1175906.38,c(-621282.199999999, -1175906.38)
700,77,"dam",0,0,22635.4772972329,1258924.19830348,0.0179800160547683,0.0179718200055911,0.0456050036926438,"1",-628448.868000001,-1176091.066,c(-628448.868000001, -1176091.066)
