"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
1,1,"dam",0,0,4442.09570302891,35783.0896011278,0.124139523795869,0.121646356951279,2.04952035315639,"1",-475532.124000002,-1101491.796,c(-475532.124000002, -1101491.796)
12,2,"dam",0,0,4369.93184771797,35783.0896011278,0.122122821042827,0.121646356951279,0.391679704587168,"1",-485316.491999999,-1092279.361,c(-485316.491999999, -1092279.361)
21,3,"dam",0,0,4399.58596722896,35783.0896011278,0.122951539855024,0.121646356951279,1.0729321752462,"1",-490793.702,-1090501.025,c(-490793.702, -1090501.025)
32,4,"dam",0,0,4364.52369931276,35783.0896011278,0.121971684054224,0.121646356951279,0.267436782406634,"1",-476176.510000002,-1101043.094,c(-476176.510000002, -1101043.094)
43,5,"dam",0,0,4378.73094149523,35783.0896011278,0.122368721938343,0.121646356951279,0.593823773410453,"1",-479965.147,-1093788.967,c(-479965.147, -1093788.967)
53,6,"dam",1,1,4352.88249043839,35783.0896011278,0.121646356951279,0.121646356951279,0,"1",-475035.780999999,-1101421.778,c(-475035.780999999, -1101421.778)
55,7,"dam",0,0,4394.29594941003,35783.0896011278,0.122803704162861,0.121646356951279,0.951403100419362,"1",-486931.941,-1091629.39,c(-486931.941, -1091629.39)
56,8,"dam",1,1,4352.88249043839,35783.0896011278,0.121646356951279,0.121646356951279,0,"1",-477153.186000001,-1096817.229,c(-477153.186000001, -1096817.229)
57,9,"dam",0,0,4383.6549541593,35783.0896011278,0.122506329191349,0.121646356951279,0.706944508345927,"1",-478414.239999998,-1095197.716,c(-478414.239999998, -1095197.716)
2,10,"dam",0,0,4385.92390298367,35783.0896011278,0.122569737601569,0.121646356951279,0.759069711113409,"1",-493226.486000001,-1089731.346,c(-493226.486000001, -1089731.346)
3,11,"dam",0,0,4385.18146007483,35783.0896011278,0.122548989172154,0.121646356951279,0.742013360282226,"1",-483478.82,-1092574.143,c(-483478.82, -1092574.143)
4,12,"dam",0,0,4353.08427640922,35783.0896011278,0.121651996094603,0.121646356951279,0.00463568615208133,"1",-499030.219000001,-1094373.413,c(-499030.219000001, -1094373.413)
5,13,"dam",0,0,4355.3370907699,35783.0896011278,0.121714953608495,0.121646356951279,0.0563902273242035,"1",-499699.951000001,-1095530.744,c(-499699.951000001, -1095530.744)
6,14,"dam",1,1,4352.88249043839,35783.0896011278,0.121646356951279,0.121646356951279,0,"1",-499089.434,-1094660.462,c(-499089.434, -1094660.462)
7,15,"dam",0,0,4352.98781009513,35783.0896011278,0.121649300231413,0.121646356951279,0.00241953824792516,"1",-499261.533,-1094821.237,c(-499261.533, -1094821.237)
8,16,"dam",0,0,4374.64117979027,35783.0896011278,0.12225442879735,0.121646356951279,0.499868521598585,"1",-500517.061000001,-1096157.151,c(-500517.061000001, -1096157.151)
9,17,"dam",0,0,4357.75962074954,35783.0896011278,0.12178265402248,0.121646356951279,0.112043693388423,"1",-497463.864,-1091529.009,c(-497463.864, -1091529.009)
10,18,"dam",0,0,4353.97122462185,35783.0896011278,0.121676782892571,0.121646356951279,0.0250117981786975,"1",-496726.471999999,-1091363.461,c(-496726.471999999, -1091363.461)
11,19,"dam",1,1,4352.88249043839,35783.0896011278,0.121646356951279,0.121646356951279,0,"1",-498165.480999999,-1092629.162,c(-498165.480999999, -1092629.162)
13,20,"dam",0,0,4359.12350875232,35783.0896011278,0.121820769456837,0.121646356951279,0.143376678043656,"1",-496154.210000001,-1091168.287,c(-496154.210000001, -1091168.287)
14,21,"dam",0,0,4356.66537947097,35783.0896011278,0.121752074179018,0.121646356951279,0.0869053791572113,"1",-498965.009,-1093824.921,c(-498965.009, -1093824.921)
15,22,"dam",0,0,4353.11583144436,35783.0896011278,0.12165287793671,0.121646356951279,0.0053606088949115,"1",-499389.774,-1094872.708,c(-499389.774, -1094872.708)
16,23,"dam",0,0,4353.00561037442,35783.0896011278,0.121649797680892,0.121646356951279,0.00282846909595727,"1",-499030.541000001,-1094531.086,c(-499030.541000001, -1094531.086)
17,24,"dam",0,0,4360.11620032376,35783.0896011278,0.121848511375785,0.121646356951279,0.166182062145259,"1",-504683.353,-1101227.464,c(-504683.353, -1101227.464)
18,25,"dam",0,0,4361.28248396407,35783.0896011278,0.121881104526721,0.121646356951279,0.192975425919123,"1",-506839.609000001,-1101824.648,c(-506839.609000001, -1101824.648)
